Unique ID,Document Type,Publication Year, Total Times Cited
WOS:000362916800012,Article,2016,12
WOS:000364883900033,Article,2016,29
WOS:000365054800008,Article,2016,34
WOS:000366157000016,Article,2016,25
WOS:000366752900021,Article,2016,0
WOS:000366873000003,Article,2016,23
WOS:000366873000017,Article,2016,10
WOS:000366873000018,Article,2016,12
WOS:000366873000024,Article,2016,10
WOS:000366879800022,Article,2016,68
WOS:000367003900064,Article,2016,8
WOS:000367258200030,Article,2016,24
WOS:000367276900022,Article,2016,51
WOS:000367276900051,Article,2016,10
WOS:000367277100050,Article,2016,5
WOS:000367420200008,Article,2016,16
WOS:000367582600001,Article,2016,8
WOS:000367582600003,Article,2016,47
WOS:000367582600007,Article,2016,2
WOS:000367756600078,Article,2016,39
WOS:000368074700008,Article,2016,11
WOS:000368225100040,Article,2016,13
WOS:000368609400004,Article,2016,16
WOS:000368858000084,Review,2016,22
WOS:000368953400039,Article,2016,17
WOS:000368959500007,Article,2016,15
WOS:000368971200014,Article,2016,28
WOS:000368971200016,Article,2016,4
WOS:000368971200033,Article,2016,14
WOS:000369047800019,Review,2016,4
WOS:000369085200010,Article; Book Chapter,2016,3
WOS:000369085200011,Article; Book Chapter,2016,7
WOS:000369085200012,Article; Book Chapter,2016,0
WOS:000369085200013,Article; Book Chapter,2016,1
WOS:000369085200014,Article; Book Chapter,2016,19
WOS:000369085200015,Article; Book Chapter,2016,2
WOS:000369198300013,Article,2016,20
WOS:000369200400013,Article,2016,5
WOS:000369213700004,Article,2016,9
WOS:000369400400004,Article; Proceedings Paper,2016,2
WOS:000369460500122,Article,2016,9
WOS:000369465700004,Article,2016,20
WOS:000369704900021,Article,2016,10
WOS:000369715900122,Article,2016,11
WOS:000370056600002,Article,2016,16
WOS:000370056600004,Article,2016,6
WOS:000370159600007,Article,2016,16
WOS:000370455900002,Article,2016,11
WOS:000370487700001,Article,2016,4
WOS:000370487700003,Article,2016,8
WOS:000370695800005,Article,2016,7
WOS:000370856100006,Article,2016,24
WOS:000370883400006,Article,2016,23
WOS:000370984800014,Article,2016,7
WOS:000370989500012,Editorial Material,2016,0
WOS:000370995700006,Article,2016,7
WOS:000371055500010,Article,2016,2
WOS:000371286500037,Article,2016,6
WOS:000371286500041,Article,2016,11
WOS:000371286500063,Article,2016,14
WOS:000371295700011,Article,2016,9
WOS:000371324600003,Article,2016,18
WOS:000371346700007,Article,2016,1
WOS:000371561400019,Article,2016,17
WOS:000371562000060,Article,2016,18
WOS:000371591100009,Article,2016,9
