PMID,Authors-Full,Authos-Full-Org,PublicationYear
32700448,"MORRIS, JEREMY S","MORRIS, JEREMY S",2020
32700448,"CALDO, KRISTIAN M","CALDO, KRISTIAN M",2020
32700448,"LIANG, SIYU","LIANG, SIYU",2020
32700448,"FACCHINI, PETER J","FACCHINI, PETER",2020
32698572,"BURGENSON, DAVID","BURGENSON, DAVID",2020
32698572,"LINTON, JONATHAN","LINTON, JONATHAN",2020
32698572,"GE, XUDONG","GE, XUDONG",2020
32698572,"KOSTOV, YORDAN","KOSTOV, YORDAN",2020
32698572,"TOLOSA, LEAH","TOLOSA, LEAH",2020
32698572,"SZETO, GREGORY L","SZETO, GREGORY L",2020
32698572,"RAO, GOVIND","RAO, GOVIND",2020
32698458,"FUJIWARA, SHOUGO","FUJIWARA, SHOUGO",2020
32698458,"SHOJI, KAN","SHOJI, KAN",2020
32698458,"WATANABE, CHIHO","WATANABE, CHIHO",2020
32698458,"KAWANO, RYUJI","KAWANO, RYUJI",2020
32698458,"YANAGISAWA, MIHO","YANAGISAWA, MIHO",2020
32697815,"LIU, DONGLIANG","LIU, DONGLIANG",2020
32697815,"HAN, MENGYING","HAN, MENGYING",2020
32697815,"TIAN, YU","TIAN, YU",2020
32697815,"GONG, LINLIN","GONG, LINLIN",2020
32697815,"JIA, CANCAN","JIA, CANCAN",2020
32697815,"CAI, PENGLI","CAI, PENGLI",2020
32697815,"TU, WEIZHONG","TU, WEIZHONG",2020
32697815,"CHEN, JUNNI","CHEN, JUNNI",2020
32697815,"HU, QIAN-NAN","HU, QIAN-NAN",2020
32696544,"JAHNKE, KEVIN","JAHNKE, KEVIN",2020
32696544,"WEISS, MARIAN","WEISS, MARIAN",2020
32696544,"WEBER, CORNELIA","WEBER, CORNELIA",2020
32696544,"PLATZMAN, ILIA","PLATZMAN, ILIA",2020
32696544,"GOEPFRICH, KERSTIN","GÃƒÂ¶PFRICH, KERSTIN",2020
32696544,"SPATZ, JOACHIM P","SPATZ, JOACHIM P",2020
32695893,"EDWARDS, HARLEY","EDWARDS, HARLEY",2020
32695893,"XU, PENG","XU, PENG",2020
32694125,"VERA, JESSICA M","VERA, JESSICA M",2020
32694125,"GHOSH, INDRO NEIL","GHOSH, INDRO NEIL",2020
32694125,"ZHANG, YAOPING","ZHANG, YAOPING",2020
32694125,"HEBERT, ALEXANDER S","HEBERT, ALEX S",2020
32694125,"COON, JOSHUA J","COON, JOSHUA J",2020
32694125,"LANDICK, ROBERT","LANDICK, ROBERT",2020
32692486,"TRUMP, BENJAMIN D","TRUMP, BENJAMIN D",2020
32692486,"GALAITSI, S E","GALAITSI, S E",2020
32692486,"APPLETON, EVAN","APPLETON, EVAN",2020
32692486,"BLEIJS, DIEDERIK A","BLEIJS, DIEDERIK A",2020
32692486,"FLORIN, MARIE-VALENTINE","FLORIN, MARIE-VALENTINE",2020
32692486,"GOLLIHAR, JIMMY D","GOLLIHAR, JIMMY D",2020
32692486,"HAMILTON, R ALEXANDER","HAMILTON, R ALEXANDER",2020
32692486,"KUIKEN, TODD","KUIKEN, TODD",2020
32692486,"LENTZOS, FILIPPA","LENTZOS, FILIPPA",2020
32692486,"MAMPUYS, RUTH","MAMPUYS, RUTH",2020
32692486,"MERAD, MYRIAM","MERAD, MYRIAM",2020
32692486,"NOVOSSIOLOVA, TATYANA","NOVOSSIOLOVA, TATYANA",2020
32692486,"OYE, KENNETH","OYE, KENNETH",2020
32692486,"PERKINS, EDWARD","PERKINS, EDWARD",2020
